Individual,Population,Locus1,,Locus2,,Locus3,,Locus4,,Locus5,,Locus6,,Locus7,,Locus8,,Locus9,,Locus10,,Locus11,,Locus12,,Locus13,,Locus14,,Locus15,,Locus16,,Locus17,,Locus18,,Locus19,,Locus20,,Locus21,
5,3,33,33,36,36,41,41,44,44,51,54,45,35,60,60,70,80,?,?,?,?,83,83,161,185,228,272,179,183,270,306,215,215,223,223,134,162,117,153,104,120,12,888
6,3,33,33,36,36,41,41,44,44,?,?,45,35,60,60,80,80,52,52,78,79,83,83,165,181,236,252,179,191,266,290,219,223,235,243,138,162,101,137,248,252,19,888
7,3,33,33,36,36,41,41,44,44,51,51,35,35,50,60,80,80,52,52,79,79,83,83,173,185,248,256,195,263,270,306,199,223,195,223,166,186,97,109,224,228,12,888
8,3,33,34,36,36,42,42,44,44,?,?,25,35,60,60,80,80,52,52,79,79,83,83,169,185,232,248,151,179,262,266,203,227,199,199,134,174,89,101,120,260,4,888
9,3,33,33,36,36,41,42,44,44,51,53,25,35,60,60,80,80,52,52,79,79,83,83,149,169,256,284,175,271,274,274,203,215,231,275,134,162,121,129,160,232,12,888
10,3,33,33,36,36,41,42,44,44,51,53,45,35,50,60,80,80,?,?,78,79,83,83,201,217,228,256,179,179,266,286,211,251,231,231,134,178,113,125,220,224,4,888
11,3,33,33,36,36,41,41,44,44,51,53,45,45,50,60,80,80,52,52,79,79,83,83,133,181,256,288,287,291,270,294,203,219,203,239,162,182,93,121,136,232,8,888
12,3,33,33,36,36,42,42,44,44,51,53,45,45,50,60,80,80,52,52,79,79,83,83,169,201,268,284,179,279,270,270,211,211,231,259,138,166,113,153,104,232,16,888
13,3,33,33,36,36,41,42,44,44,51,51,45,45,60,60,80,80,52,52,79,79,83,83,173,189,228,244,191,191,266,302,207,219,219,231,134,142,89,117,236,236,12,888
14,3,33,33,36,36,41,41,44,44,54,53,45,45,50,60,80,80,52,52,78,79,83,83,161,181,248,256,235,319,274,306,203,219,275,295,134,138,141,153,140,232,19,888
15,3,33,33,36,36,42,42,44,44,51,51,35,35,60,60,80,80,52,52,79,79,82,83,161,169,208,272,199,279,266,274,199,239,235,235,134,182,97,141,128,200,12,888
16,3,33,33,36,36,?,?,44,44,52,53,35,35,50,60,80,80,52,52,78,78,83,83,173,197,260,264,175,191,270,306,199,203,187,227,134,178,101,109,116,120,16,888
17,3,33,33,36,36,41,42,44,44,51,53,25,25,60,60,80,80,52,52,79,79,83,83,149,173,280,300,175,235,294,322,199,199,207,239,134,162,101,117,144,152,8,888
18,3,33,34,36,36,41,41,44,44,52,53,25,35,50,60,80,80,52,52,79,79,83,83,165,173,256,364,191,279,270,274,207,215,235,247,134,158,89,141,232,232,19,888
19,3,33,33,36,36,42,42,44,44,54,53,35,35,50,60,80,80,52,52,78,79,83,83,161,177,248,264,179,239,266,278,199,251,235,263,134,134,97,153,232,236,1,888
20,3,33,33,36,36,41,41,44,44,51,53,45,35,60,60,80,80,52,52,79,79,83,83,157,177,268,288,167,291,262,270,207,219,235,247,174,178,121,141,224,224,12,888
21,3,33,33,36,38,41,42,44,44,51,53,35,35,50,60,80,80,52,52,78,79,83,83,173,177,240,248,283,287,262,322,199,207,215,251,134,138,109,157,152,248,16,888
22,3,33,33,36,36,41,42,44,44,51,53,45,35,50,60,80,80,52,52,79,79,82,83,153,189,248,256,167,195,266,274,215,219,203,223,142,178,121,153,100,224,4,888
23,3,33,33,36,36,41,42,44,44,?,?,45,45,50,60,80,80,52,52,79,79,83,83,153,157,208,212,191,195,270,274,207,215,187,195,134,174,121,137,100,200,12,888
24,3,33,33,36,36,42,42,44,44,?,?,45,25,?,?,80,80,52,52,78,79,83,83,169,181,256,260,175,175,266,298,191,199,203,227,134,158,125,153,96,96,16,888
25,3,33,33,36,36,41,42,44,44,51,51,45,35,50,60,80,80,52,52,79,79,83,83,157,185,268,284,271,275,270,270,199,239,235,263,142,166,125,149,228,236,4,888
26,3,33,33,36,36,41,42,44,44,?,?,25,35,50,60,80,80,?,?,79,79,83,83,161,193,248,256,179,195,270,278,199,219,187,263,134,178,89,89,124,256,19,888
27,3,33,34,36,36,41,42,44,44,?,?,45,45,60,60,70,80,52,52,78,79,83,83,173,197,232,284,187,195,266,278,211,231,187,231,138,174,101,141,240,256,4,888
28,3,33,33,36,36,41,42,44,44,51,53,45,35,50,60,80,80,52,52,79,79,83,83,197,205,280,288,183,235,266,270,215,231,207,207,134,134,101,145,116,236,4,888
29,3,33,33,36,36,41,41,44,44,51,51,45,35,60,60,80,80,52,52,79,79,83,83,161,229,228,280,199,271,262,302,199,211,223,227,134,182,89,153,104,128,12,888
30,3,33,33,36,36,41,41,44,44,?,?,45,55,60,60,80,80,?,?,79,79,83,83,181,185,232,232,167,211,266,270,203,207,203,271,138,154,121,157,156,232,4,888
1,4,33,33,36,36,41,41,44,44,51,51,25,35,50,60,80,80,52,52,78,79,83,83,145,161,228,260,151,199,270,306,207,223,251,271,178,178,109,129,116,232,8,888
2,4,33,33,36,36,41,41,44,44,51,53,45,25,50,60,80,80,52,52,78,79,83,83,173,185,228,256,167,175,270,270,199,207,231,263,134,162,133,153,140,220,12,888
3,4,33,33,36,36,41,42,44,44,51,53,45,25,50,60,70,70,52,52,78,79,83,83,173,181,232,300,203,219,266,270,211,231,227,231,134,138,109,117,136,232,19,888
4,4,33,33,36,36,41,42,44,44,51,53,45,25,50,60,80,80,52,52,79,79,83,83,161,189,284,288,167,175,274,278,203,215,223,235,178,178,101,141,124,232,19,888
5,4,33,34,36,36,41,42,44,44,53,53,25,25,60,60,80,80,52,52,79,79,83,83,181,189,248,280,187,227,266,266,211,215,243,247,178,234,89,113,104,96,12,888
6,4,33,34,36,36,41,41,44,44,?,?,25,25,50,50,70,80,?,?,78,79,83,83,153,181,228,260,195,299,266,278,195,227,235,283,162,178,117,141,152,232,4,888
7,4,33,33,36,36,?,?,44,44,53,53,45,25,50,60,80,80,52,52,79,79,83,83,189,189,272,288,175,199,270,278,199,215,243,251,142,158,117,141,116,120,8,888
8,4,33,33,36,36,41,41,44,44,54,53,25,35,50,60,80,80,52,52,79,79,83,83,173,197,264,264,179,203,274,302,199,227,263,275,134,158,133,165,136,96,5,888
9,4,33,33,36,36,42,42,44,44,51,53,25,35,60,60,80,80,52,52,79,79,83,83,165,197,212,268,151,151,266,266,199,215,223,239,162,174,137,145,120,136,12,888
10,4,33,33,36,36,?,?,44,44,51,53,25,35,60,60,70,80,52,52,78,79,83,83,161,189,240,372,195,243,262,266,231,251,207,239,134,178,137,137,116,116,555,888
11,4,33,33,36,36,41,42,44,44,53,53,45,25,60,60,80,80,52,52,79,79,83,83,181,193,208,256,191,235,262,274,195,207,243,283,134,134,85,141,132,248,12,888
12,4,33,33,?,?,?,?,44,44,?,?,25,25,60,60,80,80,?,?,79,79,83,83,161,169,228,228,175,179,262,266,195,199,235,267,134,138,97,145,116,216,4,888
13,4,33,33,36,36,41,42,44,44,51,53,25,25,60,60,80,80,52,52,79,79,83,83,157,173,228,252,183,203,270,274,191,203,207,231,166,182,105,165,116,136,4,888
14,4,33,33,36,36,41,42,44,44,51,53,?,?,50,60,80,80,52,52,78,79,83,83,181,197,252,264,175,195,266,286,191,199,243,247,154,166,93,121,132,216,19,888
15,4,33,34,36,36,41,41,44,44,53,53,45,25,50,60,80,80,52,52,79,79,83,83,161,173,228,292,179,275,266,278,187,243,239,271,134,162,101,137,124,128,12,888
16,4,33,33,36,36,41,41,44,44,53,53,35,35,50,60,80,80,52,52,79,79,83,83,173,189,236,300,171,175,270,290,211,215,231,263,154,170,89,93,116,132,1,888
17,4,33,33,36,36,42,42,44,44,53,53,?,?,60,60,80,80,52,52,79,79,83,83,173,185,228,368,175,295,266,302,215,227,231,255,134,138,133,153,148,236,19,888
18,4,33,33,36,36,42,42,44,44,53,53,45,35,50,60,80,80,52,52,79,79,83,83,173,177,224,260,167,199,266,266,195,219,235,247,134,138,109,117,100,244,12,888
19,4,33,33,36,36,41,42,44,44,51,53,45,35,60,60,80,80,52,52,?,?,83,83,161,189,240,280,211,287,266,270,203,203,239,239,134,178,121,137,140,156,19,888
20,4,33,33,36,36,41,41,44,44,51,53,25,25,50,60,80,80,52,52,79,79,83,83,149,177,280,284,179,235,266,270,195,215,223,279,134,166,101,129,160,240,12,888
21,4,33,34,36,36,42,42,44,44,51,51,25,25,60,60,80,80,52,52,78,79,83,83,173,225,228,228,191,195,278,290,211,251,243,299,134,134,117,141,232,236,8,888
22,4,33,33,36,36,42,42,44,44,54,53,25,25,50,60,80,80,?,?,79,79,83,83,197,217,264,280,155,255,274,278,199,215,231,235,138,142,89,141,116,220,12,888
23,4,33,33,36,36,42,42,44,44,51,52,45,25,60,60,80,80,52,52,?,?,83,83,149,177,256,292,187,287,266,266,187,215,219,275,134,178,145,165,220,240,19,888
24,4,33,34,36,36,41,41,44,44,53,53,45,25,50,60,80,80,52,52,79,79,83,83,161,161,280,284,195,271,274,286,203,207,203,251,134,134,89,101,116,116,4,888
25,4,33,33,36,36,42,42,44,44,?,?,45,25,60,60,80,80,52,52,79,79,83,83,181,185,228,292,167,215,266,278,203,231,227,251,134,158,93,117,112,124,12,888
26,4,33,33,36,36,41,42,44,44,51,51,25,25,50,60,80,80,52,52,79,79,82,83,161,165,212,288,199,199,266,278,215,239,187,275,134,162,89,141,136,252,19,888
27,4,33,33,36,36,41,42,44,44,?,?,25,35,60,60,80,80,52,52,78,79,83,83,189,217,248,248,199,311,262,278,191,203,227,231,134,134,93,109,100,132,8,888
28,4,33,33,36,36,41,42,44,44,51,54,25,25,50,50,80,80,52,52,79,79,83,83,197,201,204,280,171,235,270,270,215,219,203,263,134,182,101,125,228,236,19,888
29,4,33,33,36,36,41,41,44,44,51,51,45,25,50,60,80,80,52,52,78,79,83,83,181,189,264,268,199,199,266,302,199,207,219,235,142,178,105,149,100,112,8,888
30,4,33,34,36,36,42,42,44,44,51,51,25,35,50,60,80,80,52,52,79,79,83,83,173,181,244,260,175,179,274,282,215,227,195,235,134,174,141,145,156,224,8,888
31,4,33,33,36,36,41,42,44,44,54,54,45,25,50,60,80,80,52,52,79,79,83,83,189,193,212,264,167,187,266,274,207,211,235,279,134,134,141,157,120,224,5,888
32,4,33,33,36,36,41,41,44,44,51,52,25,25,50,60,80,80,52,52,79,79,83,83,169,181,256,272,179,183,278,294,199,219,195,235,134,178,101,153,212,212,1,888
33,4,33,33,36,36,41,42,44,44,53,53,45,25,50,60,80,80,52,52,79,79,83,83,149,185,260,272,179,187,302,306,211,219,227,247,134,134,97,117,112,148,4,888
34,4,33,33,36,36,41,42,44,44,54,53,25,25,50,60,80,80,52,52,78,79,83,83,177,197,232,248,179,191,286,314,215,251,187,231,134,134,141,157,120,208,5,888
35,4,33,33,36,36,41,42,44,44,53,53,45,45,60,60,80,80,52,52,79,79,83,83,161,173,232,304,199,199,270,270,215,215,247,251,134,134,121,153,116,136,12,888
36,4,33,33,36,36,?,?,44,44,54,53,25,25,50,60,80,80,52,52,79,79,83,83,173,185,228,256,211,287,274,302,195,247,219,223,134,174,89,145,100,224,12,888
37,4,33,33,36,36,41,42,44,44,51,53,25,35,50,60,80,80,?,?,78,79,83,83,181,185,232,252,267,275,270,282,211,223,187,279,134,178,137,157,224,244,12,888
38,4,33,33,36,36,41,41,44,44,53,53,45,55,50,60,80,80,52,52,79,79,82,83,157,161,228,228,187,271,274,302,199,223,235,295,178,182,145,165,100,120,12,888
39,4,33,33,36,36,41,41,44,44,51,51,45,25,60,60,80,80,?,?,79,79,83,83,169,177,248,276,215,323,266,302,187,199,255,255,134,162,117,161,140,208,12,888
40,4,33,33,36,36,41,41,?,?,?,?,25,35,50,60,80,80,52,52,79,79,83,83,197,205,228,240,175,183,266,270,199,211,279,283,134,174,85,117,140,236,5,888
41,4,33,33,36,36,42,42,44,44,51,51,45,35,60,60,80,80,52,52,79,79,83,83,133,173,248,264,179,179,270,270,215,215,247,251,134,138,93,157,232,256,19,888
42,4,33,33,36,36,41,42,44,44,51,53,25,35,50,50,80,80,52,52,79,79,83,83,153,169,232,252,171,195,274,286,215,219,251,255,142,162,121,157,112,212,4,888
43,4,33,33,36,36,41,42,44,44,51,51,25,25,50,60,80,80,52,52,78,79,83,83,177,181,232,256,195,199,266,270,199,255,207,247,178,182,117,145,116,96,19,888
44,4,33,33,36,36,41,42,?,?,51,51,45,25,60,60,80,80,52,52,79,79,83,83,157,173,208,236,179,179,274,286,207,215,223,231,134,134,101,117,104,120,8,888
45,4,33,33,36,36,42,42,44,44,51,53,25,35,60,60,80,80,52,52,79,79,83,83,189,189,236,296,175,187,274,278,199,219,215,227,162,178,85,141,100,140,19,888
46,4,33,33,36,36,42,42,44,44,51,53,45,55,60,60,80,80,52,52,78,79,83,83,161,181,240,240,167,179,274,286,195,203,247,267,134,134,141,165,112,136,4,888
47,4,33,34,36,36,41,42,44,44,53,53,25,25,60,60,80,80,52,52,79,79,83,83,137,157,272,296,231,271,270,278,199,247,231,239,134,134,89,125,132,148,19,888
